Date,Open,High,Low,Close,Adj Close,Volume
20221230,169.26,169.9,168.8,169.64,169.64,2864500
20221229,168.54,169.35,168.52,168.85,168.85,3345900
20221228,168.05,168.34,167.1,167.91,167.91,3662500
20221227,167.89,170.61,167.8,168.67,168.67,6885700
20221223,166.88,167.8,166.66,167.26,167.26,2912300
20221222,167.76,167.76,166.06,166.76,166.76,5672700
20221221,169.04,169.71,168.68,168.8,168.8,3990100
20221220,168.1,169.53,168.03,169.08,169.08,7803100
20221219,166.71,167.11,165.99,166.32,166.32,3940500
20221216,166.02,166.98,165.84,166.79,166.79,5372000
20221215,165.73,166.21,165.1,165.35,165.35,8363000
20221214,168.43,168.81,167.14,168.1,168.1,5643000
20221213,169.21,169.79,168.02,168.51,168.51,6750200
20221212,166.44,166.6,165.43,165.68,165.68,3504400
20221209,167.26,168.09,166.6,167.06,167.06,5431300
20221208,166.58,167.05,166.07,166.47,166.47,3217900
20221207,165.47,166.64,165.32,166.33,166.33,4610700
20221206,165.2,165.54,164.45,164.84,164.84,3597800
20221205,166.55,166.72,164.32,164.39,164.39,5436200
20221202,166.18,167.47,165.76,167.26,167.26,5185900
20221201,167.48,167.95,166.98,167.84,167.84,8625800
20221130,163.69,164.81,162.4,164.81,164.81,4874700
20221129,162.7,163.63,162.6,162.73,162.73,2620600
20221128,162.93,163.06,161.91,161.93,161.93,4052900
20221125,162.85,163.43,162.76,163.22,163.22,1436500
20221123,161.69,163.24,161.56,163.08,163.08,4167000
20221122,162.3,162.6,161.72,162.07,162.07,3203800
20221121,162.44,162.5,161.28,161.88,161.88,4766500
20221118,163.38,163.69,162.68,162.79,162.79,4321100
20221117,163.79,164.11,163.4,163.92,163.92,4574400
20221116,165.41,165.71,164.83,165.12,165.12,3645800
20221115,165.27,166.23,164.56,165.5,165.5,9903500
20221114,164.2,165.24,164.15,164.92,164.92,6187600
20221111,163.91,164.58,163.42,164.56,164.56,4622400
20221110,162.01,163.51,161.66,163.48,163.48,9939900
20221109,159.36,160.35,158.45,158.65,158.65,6040600
20221108,155.99,159.87,155.98,159.45,159.45,11299600
20221107,156.22,156.57,155.81,155.85,155.85,4425700
20221104,154.95,156.6,154.66,156.47,156.47,7692000
20221103,150.7,151.96,150.57,151.81,151.81,5378800
20221102,154.16,155.42,152.26,152.39,152.39,7210900
20221101,153.82,153.98,152.87,153.46,153.46,4603600
20221031,152.16,152.87,151.89,151.91,151.91,6097800
20221028,152.96,153.54,152.5,153.16,153.16,4645400
20221027,154.71,155.09,154.22,154.74,154.74,3654900
20221026,154.78,155.73,154.78,154.98,154.98,4448200
20221025,153.96,154.79,153.83,154,154,3434100
20221024,153.45,154.06,153.06,153.65,153.65,4673300
20221021,151.98,154.31,151.83,154.15,154.15,6898400
20221020,151.92,153.23,151.27,151.45,151.45,5019800
20221019,152.09,152.49,151.54,151.69,151.69,8257100
20221018,154.08,154.24,153.24,153.75,153.75,4528400
20221017,154.92,155.33,153.32,153.42,153.42,4348000
20221014,154.02,154.2,152.72,152.98,152.98,5471900
20221013,153.48,155.73,152.92,154.91,154.91,7083800
20221012,155.51,156.29,155.26,155.99,155.99,3998500
20221011,155.49,156.81,154.92,155.16,155.16,5306700
20221010,155.94,156.35,155.12,155.48,155.48,6110800
20221007,158.46,158.98,157.68,157.88,157.88,5030000
20221006,159.41,159.94,158.95,159.63,159.63,5712600
20221005,159.32,160.08,158.38,159.81,159.81,5296300
20221004,159.18,161.08,158.92,160.7,160.7,8024500
20221003,155.44,158.48,155.23,158.43,158.43,10362200
20220930,154.94,156.04,154.57,154.67,154.67,6832400
20220929,154.14,155.03,153.16,154.66,154.66,6317000
20220928,153.2,154.88,152.93,154.69,154.69,8977200
20220927,152.25,152.73,151.5,151.54,151.54,7151300
20220926,153.22,153.51,151.03,151.23,151.23,8240500
20220923,153.9,154,152.64,153.01,153.01,9598000
20220922,156.26,156.48,155.31,155.7,155.7,5975200
20220921,155.97,157.25,154.01,155.79,155.79,7816100
20220920,155.03,155.23,154.59,155.07,155.07,5943700
20220919,154.87,156.04,154.82,155.96,155.96,5582800
20220916,154.66,156.56,154.34,155.84,155.84,7141200
20220915,156.76,157.49,154.62,154.98,154.98,13181200
20220914,158.68,158.98,157.73,157.93,157.93,6091100
20220913,158.47,159.27,158.39,158.54,158.54,6526400
20220912,161.04,161.62,160.55,160.63,160.63,4537500
20220909,159.72,160.24,159.41,159.82,159.82,3927800
20220908,159.54,159.86,158.71,158.98,158.98,4607100
20220907,158.15,160.15,158.08,159.94,159.94,3981400
20220906,159.17,159.46,158.32,158.33,158.33,4863800
20220902,159.35,160.06,159.14,159.26,159.26,5196900
20220901,158.17,158.39,157.32,157.87,157.87,7390800
20220831,159.5,160.57,159.26,159.27,159.27,5438600
20220830,161.27,161.43,160.34,160.51,160.51,4856600
20220829,161.88,162.62,161.7,161.86,161.86,4702300
20220826,163.12,163.61,161.55,161.76,161.76,6689300
20220825,163.97,163.99,163.24,163.75,163.75,2857500
20220824,162.44,163.61,162.37,163.25,163.25,3202400
20220823,161.96,163.43,161.91,162.77,162.77,4425100
20220822,161.66,162.12,161.36,161.64,161.64,4458100
