Date,Open,High,Low,Close,Adj Close,Volume
20211231,475.64,476.86,474.67,474.96,462.25,65237400
20211230,477.93,479,475.67,476.16,463.41,55329000
20211229,476.98,478.56,475.92,477.48,464.7,54503000
20211228,477.72,478.81,476.06,476.87,464.11,47274600
20211227,472.06,477.31,472.01,477.26,464.49,56808600
20211223,468.75,472.19,468.64,470.6,458,56439700
20211222,462.79,467.81,462.58,467.69,455.17,58890200
20211221,458.61,463.21,456.31,463.06,450.67,69806300
20211220,454.48,455.4,451.14,454.98,442.8,107134800
20211217,461.55,464.74,458.06,459.87,447.56,135511600
20211216,472.57,472.87,464.8,466.45,452.38,116568600
20211215,463.42,470.86,460.74,470.6,456.4,116899300
20211214,463.09,465.74,460.25,463.36,449.38,97264100
20211213,470.19,470.56,466.27,466.57,452.49,87724700
20211210,469.23,470.9,466.51,470.74,456.54,77159800
20211209,468.15,469.63,466.14,466.35,452.28,61272600
20211208,468.7,470,466.83,469.52,455.35,72238800
20211207,464.41,468.88,458.65,468.28,454.15,95484700
20211206,456.13,460.79,453.56,458.79,444.95,98977500
20211203,459.17,460.3,448.92,453.42,439.74,137331600
20211202,450.73,459.07,450.31,457.4,443.6,127637800
20211201,461.64,464.67,450.29,450.5,436.91,131939200
20211130,462,464.03,455.3,455.56,441.81,148559600
20211129,464.07,466.56,461.73,464.6,450.58,86268800
20211126,462.34,463.9,457.77,458.97,445.12,112669600
20211124,466.06,469.57,465.19,469.44,455.28,61858800
20211123,467.22,469.1,464.45,468.19,454.06,73206500
20211122,470.89,473.54,467.35,467.57,453.46,72762000
20211119,469.61,470.94,468.5,468.89,454.74,57315600
20211118,469.24,470.01,466.34,469.73,455.56,50625600
20211117,469,469.19,467.48,468.14,454.01,47858300
20211116,467.15,470.49,467.07,469.28,455.12,48857500
20211115,468.64,468.81,466.23,467.43,453.33,46980500
20211112,465.12,467.86,464.11,467.27,453.17,53466700
20211111,465.21,465.29,463.75,463.77,449.78,34848500
20211110,465.58,467.38,462.04,463.62,449.63,69429700
20211109,469.32,469.57,465.88,467.38,453.28,51149100
20211108,469.7,470.23,468.2,468.93,454.78,50405200
20211105,469.28,470.65,466.92,468.53,454.39,66390600
20211104,465.36,467,464.99,466.91,452.82,52847100
20211103,461.3,465.15,460.83,464.72,450.7,52509800
20211102,460.22,462.23,460.08,461.9,447.96,48908400
20211101,460.3,460.7,458.2,460.04,446.16,48433600
20211029,455.87,459.56,455.56,459.25,445.39,70162400
20211028,455.46,458.4,455.45,458.32,444.49,51437900
20211027,456.45,457.16,453.86,453.94,440.24,72438000
20211026,457.2,458.49,455.56,455.96,442.2,56075100
20211025,454.28,455.9,452.39,455.55,441.8,45214500
20211022,453.13,454.67,451.05,453.12,439.45,58845100
20211021,451.77,453.83,451.31,453.59,439.9,41305400
20211020,451.13,452.73,451.01,452.41,438.76,49571600
20211019,448.92,450.71,448.27,450.64,437.04,46996800
20211018,443.97,447.55,443.27,447.19,433.7,62213200
20211015,444.75,446.26,444.09,445.87,432.42,66260200
20211014,439.08,442.66,438.58,442.5,429.15,70236800
20211013,434.71,436.05,431.54,435.18,422.05,72974000
20211012,435.67,436.1,432.78,433.62,420.54,71181200
20211011,437.16,440.26,434.62,434.69,421.57,65233300
20211008,439.48,439.89,437.19,437.86,424.65,74557400
20211007,438.39,441.68,438.2,438.66,425.42,72437500
20211006,429.27,435.12,427.54,434.9,421.78,113032200
20211005,430.24,435.49,429.39,433.1,420.03,90682500
20211004,433,433.96,426.36,428.64,415.71,128570000
20211001,430.98,436.03,427.23,434.24,421.14,129240100
20210930,436.02,436.77,428.78,429.14,416.19,140506000
20210929,435.19,437.04,433.85,434.45,421.34,82329200
20210928,439.69,440.04,432.94,433.72,420.63,130436300
20210927,442.81,444.05,441.9,442.64,429.28,61371100
20210924,441.44,444.67,441.21,443.91,430.52,62094800
20210923,439.85,444.89,439.6,443.18,429.81,76396000
20210922,436.05,440.03,433.75,437.86,424.65,102350100
20210921,436.53,437.91,433.07,433.63,420.55,92526100
20210920,434.88,436.56,428.86,434.04,420.94,166445500
20210917,444.92,445.37,441.02,441.4,428.08,118425000
20210916,447.32,448.36,444.02,447.17,432.29,77786700
20210915,444.62,448.41,443.44,447.88,432.98,78792200
20210914,448.12,448.34,443.22,444.17,429.39,78197100
20210913,448.64,448.92,444.11,446.58,431.72,83738600
20210910,451.04,451.49,445.31,445.44,430.62,89948200
20210909,450.7,452.57,448.72,448.98,434.04,57970400
20210908,450.89,451.67,448.86,450.91,435.91,56181900
20210907,452.71,452.81,450.74,451.46,436.44,51671500
20210903,451.98,453.63,451.55,453.08,438.01,47170500
20210902,453.32,454.05,451.91,453.19,438.11,42501000
20210901,452.56,453.11,451.55,451.8,436.77,48721400
20210831,452.13,452.49,450.92,451.56,436.54,59300200
20210830,450.97,453.07,450.71,452.23,437.18,48357400
20210827,447.12,450.65,447.06,450.25,435.27,77235100
20210826,448.61,448.86,446.16,446.26,431.41,57829600
20210825,448.17,449.46,447.77,448.91,433.97,40529700
20210824,447.97,448.54,447.42,447.97,433.07,38744700
20210823,445.16,448.23,443.44,447.26,432.38,54973000
20210820,440.23,443.71,439.71,443.36,428.61,72008700
20210819,436.27,441.14,436.12,439.86,425.23,92812200
20210818,442.96,444.63,438.92,439.18,424.57,89351900
20210817,444.24,444.96,440.85,444.04,429.27,92673900
20210816,444.53,447.11,442.87,446.97,432.1,73740000
20210813,445.59,445.94,445.07,445.92,431.08,39470300
20210812,443.62,445.26,442.66,445.11,430.3,38909400
20210811,443.82,443.88,442.62,443.78,429.02,44034300
20210810,442.61,443.44,441.88,442.68,427.95,43339300
20210809,442.46,442.8,441.31,442.13,427.42,41222600
20210806,442.1,442.94,441.8,442.49,427.77,46930000
20210805,440.22,441.85,439.88,441.76,427.06,38969700
20210804,439.78,441.12,438.73,438.98,424.37,46732200
20210803,438.44,441.28,436.1,441.15,426.47,58053900
20210802,440.34,440.93,437.21,437.59,423.03,58783300
20210730,437.91,440.06,437.77,438.51,423.92,68951200
20210729,439.82,441.8,439.81,440.65,425.99,47435300
20210728,439.68,440.3,437.31,438.83,424.23,52472400
20210727,439.91,439.94,435.99,439.01,424.4,67397100
20210726,439.31,441.03,439.26,441.02,426.35,43719200
20210723,437.52,440.3,436.79,439.94,425.3,63766600
20210722,434.74,435.72,433.69,435.46,420.97,47878500
20210721,432.34,434.7,431.01,434.55,420.09,64724400
20210720,425.68,432.42,424.83,431.06,416.72,99608200
20210719,426.19,431.41,421.97,424.97,410.83,147987000
20210716,436.01,436.06,430.92,431.34,416.99,75874700
20210715,434.81,435.53,432.72,434.75,420.29,55126400
20210714,437.4,437.92,434.91,436.24,421.73,64130400
20210713,436.24,437.84,435.31,435.59,421.1,52911300
20210712,435.43,437.35,434.97,437.08,422.54,52889600
20210709,432.53,435.84,430.71,435.52,421.03,76238600
20210708,428.78,431.73,427.52,430.92,416.58,97595200
20210707,433.66,434.76,431.51,434.46,420.01,63549500
