Date,Open,High,Low,Close,Adj Close,Volume
20211231,147.81,149.03,147.43,148.19,140.82,13402300
20211230,147.25,147.97,146.45,147.9,140.54,10355000
20211229,146.91,147.31,146.41,146.67,139.37,11771200
20211228,149.6,149.78,148.01,148.29,140.91,9174600
20211227,148.46,149.01,148.32,148.88,141.47,7821800
20211223,149.59,149.6,148.03,148.52,141.13,11642500
20211222,149.73,149.86,149.02,149.82,142.36,12253900
20211221,148.14,149.2,147.62,149.13,141.71,16598200
20211220,150.75,151.02,149.6,149.7,142.25,17147300
20211217,150.34,150.98,150.16,150.83,143.32,18093500
20211216,148.75,149.88,148.73,149.14,141.72,18677900
20211215,149.61,150.79,149.13,149.25,141.66,25383900
20211214,150.37,150.93,149.31,150.7,143.04,14015500
20211213,150.39,151.31,150.31,151.06,143.38,17860500
20211210,149.92,150.24,148.81,148.86,141.29,14298700
20211209,149.34,149.84,148.48,149.22,141.63,17544900
20211208,150.47,150.48,148.36,148.39,140.85,33633900
20211207,151.72,152.53,150.86,151,143.32,22115900
20211206,154.05,154.35,151.93,152.23,144.49,30924200
20211203,151.68,155.12,151.35,154.35,146.5,34427100
20211202,152.93,152.99,150.76,152.53,144.78,17754200
20211201,150.49,152.41,149.79,152.34,144.6,30826500
20211130,150.83,152.07,150.25,151.59,143.71,31481100
20211129,148.31,149.64,148.17,149.32,141.56,23234200
20211126,148.83,150.68,148.67,150.53,142.7,20064800
20211124,144.94,146.82,144.79,146.82,139.19,13769700
20211123,145.93,146.11,144.5,144.5,136.99,15318500
20211122,147.4,147.64,146.13,146.62,139,15266000
20211119,147.58,148.6,147.58,148.36,140.65,14022100
20211118,145.99,146.9,145.95,146.81,139.18,11054600
20211117,144.57,146.29,144.46,146.26,138.66,14239900
20211116,145.69,146.38,144.85,145.11,137.57,12998700
20211115,146.89,146.96,145.22,145.48,137.92,15232700
20211112,148,148.51,146.76,147.33,139.67,12712000
20211111,148.51,148.66,147.89,147.98,140.29,5552500
20211110,150.83,150.93,147.03,148.2,140.5,28170600
20211109,150.8,151.77,150.64,150.96,143.11,23430200
20211108,148.96,149.28,148.51,149.02,141.27,12083800
20211105,148.52,149.58,148.13,149.3,141.54,21513000
20211104,145.87,147.36,145.85,147.1,139.45,15922400
20211103,147.82,147.98,145.53,145.57,138,20639400
20211102,146.5,147.57,146.5,147.09,139.44,9836700
20211101,145.8,146.76,145.7,146.44,138.83,18035500
20211029,146.47,148,146.32,147.69,139.83,19087300
20211028,147.79,148.33,146.84,147.24,139.41,17497600
20211027,146.4,148.18,145.93,147.74,139.88,22092300
20211026,144.62,145.1,143.74,145.1,137.38,13671000
20211025,143.67,144.3,143.63,143.91,136.26,8137900
20211022,143.45,144.4,143.21,144.13,136.46,13740000
20211021,143,143.15,142.23,142.56,134.98,13660000
20211020,143.25,143.68,142.51,142.73,135.14,12782500
20211019,144.66,144.73,143.65,143.7,136.06,12156300
20211018,145,146,144.52,145.71,137.96,12115900
20211015,145,145.14,144.47,145.03,137.32,11811500
20211014,145.37,145.96,144.95,145.88,138.12,12946400
20211013,144.61,145.53,144.58,145.34,137.61,23584600
20211012,142.63,144.01,142.48,143.94,136.28,17968700
20211011,141.6,141.9,141.45,141.52,133.99,7213400
20211008,142.26,142.35,141.53,141.88,134.33,17257800
20211007,143.19,143.34,142.59,142.88,135.28,14856000
20211006,144.23,144.72,144.03,144.39,136.71,18696500
20211005,144.6,144.7,143.46,143.58,135.94,22659200
20211004,144.67,145.46,144.1,144.98,137.27,28027600
20211001,144.85,145.4,144.2,145.35,137.62,26151800
20210930,144.1,144.51,143.65,144.32,136.47,22567600
20210929,144.8,145.43,143.69,144.34,136.49,23569400
20210928,144.33,145.07,143.64,144.09,136.25,26613500
20210927,146.06,146.87,145.88,146.37,138.41,13464300
20210924,147.84,147.85,146.74,146.91,138.92,20203900
20210923,150.42,150.45,148.34,148.36,140.29,23853300
20210922,150.79,151.79,150.44,151.79,143.53,22277800
20210921,150.71,150.96,150.2,150.89,142.68,10035800
20210920,150.57,151.37,150.23,151.02,142.81,14660400
20210917,149.18,149.36,148.7,149.17,141.06,13782900
20210916,149.67,150.45,149.5,149.89,141.74,13328900
20210915,151.21,151.25,149.93,150.58,142.39,11940300
20210914,149.73,151.57,149.58,151.11,142.89,19918400
20210913,149.04,149.49,148.95,149.3,141.18,15036100
20210910,148.9,149.17,148.16,148.4,140.33,14894600
20210909,148.17,149.89,147.85,149.72,141.58,20324600
20210908,147.66,148.19,147.39,147.93,139.88,14533700
20210907,147.26,147.52,146.66,146.93,138.94,15547800
20210903,148.27,148.51,147.94,148.18,140.12,12928000
20210902,149.24,149.55,148.75,149.54,141.41,9765900
20210901,149.27,149.39,148.49,148.89,140.79,10807100
20210831,149.67,150.09,148.5,148.83,140.56,15262400
20210830,148.99,149.9,148.93,149.85,141.52,10596300
20210827,148.57,149.49,148.33,149.46,141.15,15384700
20210826,147.97,148.57,147.51,148.45,140.2,16657400
20210825,149.21,149.37,147.58,148.04,139.81,16743800
20210824,149.76,150.07,149.28,149.28,140.98,13835900
20210823,150.2,150.5,149.92,150.45,142.09,10615000
20210820,150.59,150.81,150.11,150.55,142.18,12388400
