Date,Open,High,Low,Close,Adj Close,Volume
2023/11/21,90.5,90.800003,89.889999,90.550003,90.550003,27721000
2023/11/20,89.620003,90.660004,89.610001,90.589996,90.589996,40477800
2023/11/17,90.160004,90.43,89.639999,90.040001,90.040001,44091400
2023/11/16,89.300003,89.959999,89.25,89.620003,89.620003,49473900
2023/11/15,89.010002,89.139999,88.309998,88.519997,88.519997,56205300
2023/11/14,90,90.150002,89.290001,89.779999,89.779999,65666800
2023/11/13,87.220001,87.940002,86.900002,87.790001,87.790001,25661500
2023/11/10,88.230003,88.43,87.769997,87.989998,87.989998,36516400
2023/11/9,88.940002,89.029999,86.739998,87.5,87.5,88975100
2023/11/8,88.480003,89.620003,88.449997,89.559998,89.559998,53893400
2023/11/7,87.610001,88.5,87.589996,88.059998,88.059998,37834200
2023/11/6,87.07,87.199997,86.599998,86.779999,86.779999,41341900
2023/11/3,88.809998,89.050003,87.580002,87.629997,87.629997,77668500
2023/11/2,86.68,87.309998,86.220001,87.040001,87.040001,69739400
2023/11/1,84.040001,85.120003,84.019997,85.099998,85.099998,72308500
2023/10/31,84.370003,84.769997,83.550003,83.580002,83.294006,37269200
2023/10/30,83.809998,84.5,83.239998,83.989998,83.702599,45026900
2023/10/27,84.190002,84.970001,83.739998,84.370003,84.081299,32362300
2023/10/26,83.480003,84.82,83.400002,84.730003,84.440071,49704100
2023/10/25,84.019997,84.129997,83.129997,83.449997,83.164444,60737200
2023/10/24,84.440002,85.349998,84.089996,85.349998,85.057945,46267700
2023/10/23,82.809998,84.860001,82.419998,84.239998,83.951744,70890400
2023/10/20,82.989998,83.540001,82.769997,83.239998,82.955162,52162600
2023/10/19,83.879997,84.57,82.739998,82.769997,82.486771,87696900
2023/10/18,84.379997,84.720001,83.849998,84.5,84.210854,63724600
2023/10/17,84.889999,85.629997,84.5,85.25,84.95829,52949100
2023/10/16,86.190002,86.370003,85.900002,86.199997,85.905037,38309800
2023/10/13,87.599998,87.830002,87.169998,87.610001,87.310211,44183800
2023/10/12,88.050003,88.190002,85.93,86.07,85.775482,66986700
2023/10/11,87.849998,88.470001,87.599998,88.470001,88.167274,58517700
2023/10/10,85.849998,87.169998,85.519997,86.660004,86.363464,54743900
2023/10/9,85.5,86.800003,84.949997,86.779999,86.483047,29424900
